"";"group_size"
1;522
2;77507
3;20801
4;18093
5;10018
6;8523
7;6429
8;5466
9;4685
10;4159
11;3744
12;3366
13;3181
14;2860
15;2724
16;2706
17;2317
18;2204
19;2167
20;1868
21;1685
22;1632
23;1370
24;1296
25;1179
26;1014
27;901
28;750
29;672
30;557
31;465
32;364
33;278
34;319
35;206
36;186
37;144
38;159
39;108
40;93
41;84
42;62
43;57
44;65
45;55
46;49
47;48
48;44
49;39
50;29
51;50
52;42
53;38
54;23
55;25
56;25
57;23
58;20
59;28
60;21
61;12
62;15
63;8
64;16
65;11
66;14
67;11
68;6
69;9
70;8
71;10
72;10
73;9
74;6
75;6
76;9
77;9
78;4
79;8
80;7
81;4
82;4
83;9
84;4
85;4
86;8
87;2
88;0
89;1
90;3
91;3
92;3
93;3
94;2
95;2
96;3
97;0
98;0
99;2
100;1
101;0
102;4
103;2
104;1
105;4
106;7
107;0
108;0
109;1
110;0
111;0
112;2
113;3
114;1
115;1
116;0
117;1
118;1
119;2
120;1
121;2
122;0
123;0
124;0
125;1
126;0
127;0
128;0
129;1
130;0
131;0
132;0
133;0
134;0
135;0
136;1
137;0
138;0
139;0
140;0
141;0
142;0
143;0
144;0
145;0
146;0
147;2
148;1
149;0
150;0
151;0
152;0
153;0
154;0
155;1
156;0
157;0
158;0
159;0
160;0
161;0
162;0
163;0
164;0
165;0
166;0
167;0
168;0
169;1
170;0
171;0
172;0
173;0
174;0
175;0
176;0
177;0
178;0
179;0
180;0
181;0
182;0
183;0
184;0
185;0
186;0
187;0
188;0
189;0
190;0
191;0
192;0
193;0
194;0
195;0
196;0
197;0
198;0
199;0
200;0
201;0
202;0
203;0
204;0
205;0
206;0
207;0
208;0
209;0
210;0
211;0
212;0
213;0
214;1
215;0
216;0
217;0
218;0
219;0
220;0
221;0
222;0
223;0
224;0
225;0
226;0
227;1
