"";"duration"
0;114411
1;18208
2;11882
3;8564
4;6928
5;5826
6;4873
7;4248
8;3859
9;3525
10;3195
11;2922
12;2610
13;2516
14;2330
15;2158
16;2062
17;1913
18;2049
19;2352
20;2811
21;3531
22;4295
23;5086
24;5799
25;5832
26;5537
27;5117
28;4541
29;4008
30;3597
31;3153
32;2947
33;2769
34;2643
35;2348
36;2341
37;2250
38;2188
39;1977
40;2068
41;2051
42;1995
43;1919
44;1841
45;1708
46;1639
47;1598
48;1634
49;1511
50;1445
51;1405
52;1426
53;1493
54;1354
55;1389
56;1368
57;1307
58;1326
59;1368
60;1350
61;1258
62;1359
63;1341
64;1367
65;1360
66;1396
67;1358
68;1400
69;1425
70;1416
71;1480
72;1488
73;1424
74;1529
75;1592
76;1590
77;1578
78;1552
79;1479
80;1450
81;1315
82;1276
83;1182
84;1128
85;986
86;890
87;772
88;671
89;558
90;496
91;358
92;286
93;242
94;184
95;157
96;112
97;74
98;54
99;59
100;45
101;35
102;31
103;17
104;12
105;10
106;11
107;11
108;8
109;5
110;4
111;5
112;2
113;4
114;3
115;2
116;1
117;4
118;0
119;3
120;1
121;1
122;1
123;4
124;3
125;3
126;1
127;0
128;3
129;2
130;1
131;2
132;1
133;1
134;0
135;1
136;1
137;1
138;1
139;1
140;2
141;0
142;1
143;1
144;1
145;0
146;0
147;2
148;0
149;2
150;1
151;2
152;0
153;0
154;1
155;2
156;0
157;0
158;0
159;1
