"parent_uuid";"partner_uuid";"sex"
"72c35102-e685-6f21-4abf-ca3b60767aa6";"674b789b-605b-bf5e-56d0-97b2a662a645";"m"
"85e3063d-3da6-3275-0783-032b6c12a58d";"a8fffc57-14a1-7dc7-0d5a-ff2c03d22620";"v"
"80ada547-e184-9372-bd75-7c472dc5d5f5";"07cbc4f8-eb06-e284-510f-228d2c319058";"m"
"84d65d17-1d60-48b3-68d2-30c63ffe47ff";"adfe97bd-581e-63f4-4a29-ab4794136fba";"v"
"a7f57c4f-aa0b-01e7-c07d-3fab32356e01";"07cbc4f8-eb06-e284-510f-228d2c319058";"m"
"501f413f-3b44-43aa-622c-b1631e878719";"adfe97bd-581e-63f4-4a29-ab4794136fba";"v"
"b14eb6c9-2689-b9b0-493a-e97ac95c6297";"26a5c062-d559-0be1-4c0b-aec9c4df46c3";"m"
"0e21c387-6780-0b82-55c2-19d29485e982";"b87d279c-1022-d41a-b4e6-183c8966ed11";"v"
"6a23278e-5256-883a-4a61-c14295970bf7";"eb8a6437-1b37-bd39-55ea-b8ddf44d25e0";"m"
"ee55278c-3fdb-5b10-9c1e-b42370c67e9d";"4b86ae7d-d360-8b80-74a7-0163119b248c";"v"
